customer_id,order_id,order_date,rolling_7_day_order_count
C00001,O0001824,2022-08-12,1
C00001,O0001852,2023-12-29,1
C00002,O0001057,2022-06-08,1
C00002,O0001392,2022-07-25,1
C00003,O0001944,2023-07-20,1
C00003,O0000048,2023-08-29,1
C00004,O0000280,2022-04-30,1
C00004,O0000872,2022-09-27,1
C00004,O0001729,2022-12-25,1
C00004,O0000010,2023-10-22,1
C00004,O0001184,2024-01-20,1
C00005,O0000191,2022-01-22,1
C00005,O0001587,2022-08-03,1
C00005,O0000215,2022-12-05,1
C00005,O0001388,2023-09-06,1
C00005,O0000523,2023-09-15,1
C00006,O0000694,2023-05-20,1
C00007,O0000779,2022-05-26,1
C00007,O0001923,2023-01-30,1
C00007,O0000533,2023-04-13,1
C00007,O0001026,2023-12-01,1
C00008,O0001460,2022-02-22,1
C00008,O0000185,2022-03-24,1
C00008,O0000354,2023-09-21,1
C00008,O0000322,2024-03-11,1
C00009,O0000076,2022-01-19,1
C00010,O0000982,2022-03-09,1
C00010,O0000822,2022-06-13,1
C00010,O0001879,2023-01-26,1
C00010,O0001368,2023-05-04,1
C00010,O0000276,2023-08-14,1
C00010,O0000584,2024-04-04,1
C00011,O0000459,2022-08-07,1
C00011,O0000284,2023-08-30,1
C00012,O0001989,2022-02-05,1
C00012,O0001466,2023-05-24,1
C00013,O0000825,2022-03-03,1
C00013,O0001405,2022-04-27,1
C00013,O0001013,2023-03-30,1
C00013,O0000024,2023-07-07,1
C00013,O0001698,2024-06-23,1
C00014,O0000115,2022-02-22,1
C00014,O0000853,2023-04-25,1
C00014,O0000910,2023-06-29,1
C00014,O0001843,2023-08-05,1
C00014,O0001170,2024-01-20,1
C00014,O0001819,2024-03-08,1
C00015,O0001773,2022-04-25,1
C00015,O0000311,2022-11-28,1
C00015,O0000561,2023-12-10,1
C00015,O0000611,2024-06-29,1
C00016,O0001237,2022-01-21,1
C00016,O0000680,2023-01-25,1
C00017,O0001536,2023-01-21,1
C00018,O0000724,2023-06-10,1
C00018,O0000967,2023-10-19,1
C00018,O0000026,2023-10-21,2
C00018,O0001996,2023-12-14,1
C00018,O0000667,2024-06-28,1
C00019,O0001495,2023-01-21,1
C00019,O0001816,2023-01-28,2
C00019,O0000890,2023-03-12,1
C00020,O0000128,2022-03-24,1
C00020,O0000331,2022-12-19,1
C00020,O0000943,2023-02-06,1
C00020,O0001641,2024-02-17,1
C00021,O0001180,2022-04-18,1
C00021,O0001799,2023-01-07,1
C00021,O0000410,2023-05-17,1
C00021,O0000321,2023-09-14,1
C00021,O0000506,2024-05-17,1
C00022,O0001010,2022-12-23,1
C00022,O0000525,2023-05-22,1
C00022,O0000388,2024-01-25,1
C00023,O0000741,2022-04-14,1
C00023,O0000425,2022-07-11,1
C00023,O0001212,2023-03-22,1
C00023,O0001990,2023-08-03,1
C00024,O0001751,2022-03-11,1
C00024,O0000862,2022-10-24,1
C00024,O0001525,2023-12-01,1
C00024,O0001867,2024-03-18,1
C00025,O0001182,2022-03-28,1
C00025,O0001359,2022-04-10,1
C00025,O0001298,2022-06-25,1
C00025,O0001766,2023-03-16,1
C00026,O0001626,2022-03-03,1
C00026,O0000492,2023-04-06,1
C00028,O0001067,2022-04-03,1
C00028,O0001894,2022-04-13,1
C00028,O0001022,2022-10-04,1
C00028,O0000063,2024-02-06,1
C00028,O0001919,2024-04-16,1
C00029,O0001411,2022-02-25,1
C00029,O0000329,2022-07-21,1
C00029,O0001364,2023-04-01,1
C00029,O0000349,2023-05-16,1
C00030,O0001362,2022-01-21,1
C00030,O0000339,2023-02-28,1
C00030,O0000308,2023-07-06,1
C00031,O0001957,2022-08-07,1
C00031,O0000013,2022-11-30,1
C00031,O0001874,2023-03-26,1
C00031,O0001870,2023-10-13,1
C00031,O0000932,2023-10-28,1
C00031,O0000177,2023-11-04,2
C00031,O0001930,2024-01-19,1
C00032,O0000639,2022-03-14,1
C00032,O0001279,2023-02-20,1
C00033,O0000532,2024-06-01,1
C00034,O0000346,2022-02-12,1
C00034,O0000753,2022-11-15,1
C00034,O0001958,2023-07-31,1
C00035,O0000101,2024-01-14,1
C00036,O0001463,2022-07-26,1
C00036,O0001443,2023-07-09,1
C00036,O0000931,2024-02-23,1
C00037,O0000397,2022-04-28,1
C00037,O0000580,2023-03-12,1
C00037,O0001195,2023-09-26,1
C00037,O0000004,2023-10-26,1
C00037,O0001734,2024-03-04,1
C00038,O0001916,2022-04-11,1
C00038,O0000566,2023-10-13,1
C00038,O0001654,2023-10-17,2
C00038,O0000073,2023-12-01,1
C00038,O0001722,2024-05-25,1
C00039,O0000924,2023-01-23,1
C00040,O0001538,2022-09-03,1
C00040,O0001929,2022-11-17,1
C00041,O0001363,2023-03-02,1
C00041,O0001584,2023-04-21,1
C00042,O0000839,2022-01-29,1
C00042,O0001422,2022-04-30,1
C00042,O0000003,2022-07-02,1
C00042,O0000244,2023-09-11,1
C00042,O0001218,2023-11-27,1
C00043,O0000130,2023-10-17,1
C00043,O0001665,2023-12-31,1
C00043,O0000536,2024-02-05,1
C00044,O0000124,2022-04-03,1
C00044,O0000406,2023-03-03,1
C00044,O0001559,2023-11-11,1
C00045,O0000672,2022-01-29,1
C00045,O0001842,2023-06-26,1
C00045,O0001880,2024-03-11,1
C00046,O0000617,2022-12-07,1
C00046,O0000700,2023-11-11,1
C00048,O0001157,2023-01-04,1
C00048,O0000519,2023-02-14,1
C00048,O0001765,2023-02-23,1
C00048,O0001747,2023-05-16,1
C00049,O0001995,2023-02-26,1
C00049,O0001394,2024-03-13,1
C00049,O0001920,2024-06-03,1
C00050,O0001885,2022-01-02,1
C00050,O0000208,2022-05-07,1
C00050,O0000999,2024-03-20,1
C00051,O0001271,2022-04-14,1
C00051,O0000813,2023-05-30,1
C00051,O0001739,2023-09-18,1
C00052,O0001403,2023-04-22,1
C00052,O0000511,2023-11-27,1
C00052,O0001709,2024-04-01,1
C00053,O0000777,2022-01-18,1
C00053,O0001412,2022-01-21,2
C00053,O0000881,2022-08-20,1
C00053,O0000205,2022-12-08,1
C00053,O0001553,2023-11-29,1
C00053,O0000265,2024-02-07,1
C00053,O0000916,2024-04-11,1
C00054,O0001586,2023-02-21,1
C00054,O0001863,2023-10-29,1
C00054,O0000414,2024-06-13,1
C00055,O0000808,2022-04-25,1
C00055,O0000583,2022-10-09,1
C00055,O0000859,2023-03-28,1
C00055,O0001365,2023-06-27,1
C00055,O0000036,2023-08-10,1
C00055,O0001253,2024-05-06,1
C00056,O0001493,2022-02-14,1
C00056,O0001228,2022-03-08,1
C00056,O0001033,2022-04-10,1
C00056,O0001427,2022-06-11,1
C00056,O0001472,2023-05-18,1
C00056,O0001294,2023-05-23,2
C00057,O0000015,2022-02-13,1
C00057,O0001832,2022-05-31,1
C00057,O0000864,2023-03-21,1
C00057,O0000597,2023-08-25,1
C00058,O0001225,2022-10-24,1
C00058,O0001122,2023-12-24,1
C00058,O0001599,2024-01-01,1
C00059,O0000603,2022-06-14,1
C00059,O0001943,2022-07-13,1
C00059,O0000940,2023-04-16,1
C00060,O0001445,2022-03-28,1
C00060,O0001603,2022-06-17,1
C00060,O0001300,2022-07-01,1
C00060,O0001134,2022-08-11,1
C00060,O0001280,2023-06-10,1
C00061,O0000571,2022-08-23,1
C00061,O0001686,2023-03-29,1
C00061,O0001101,2024-03-05,1
C00061,O0001139,2024-03-29,1
C00062,O0000631,2023-01-02,1
C00062,O0001176,2023-03-09,1
C00062,O0001408,2023-07-06,1
C00063,O0001337,2022-05-17,1
C00063,O0000077,2022-05-28,1
C00063,O0001442,2022-10-16,1
C00063,O0000234,2023-04-04,1
C00063,O0001358,2023-05-28,1
C00063,O0001712,2023-11-17,1
C00063,O0000156,2024-06-19,1
C00064,O0001704,2022-06-13,1
C00064,O0001325,2023-07-14,1
C00064,O0000882,2023-11-06,1
C00064,O0000251,2024-01-06,1
C00064,O0000114,2024-02-29,1
C00065,O0000347,2022-08-08,1
C00065,O0000537,2023-02-17,1
C00065,O0001918,2023-10-01,1
C00065,O0000470,2024-02-03,1
C00066,O0000192,2022-01-15,1
C00066,O0000959,2022-09-17,2
